ZONE DE MILLEPERTUIS 03400 YZEURE;,46.535202,3.385187,"Cynodrome de Millepertuis, 03400 Yzeure, France",,,Cynodrome de Millepertuis,03400,Allier,Yzeure,,Yzeure,Auvergne-Rhone-Alpes,ARA,1,,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue de la Faraie 69770 chambost longessaigne;,45.791615,4.424964,"Rue de la Mairie, 69770 Longessaigne, France",,,Rue de la Mairie,69770,Rhône,Longessaigne,,Longessaigne,Auvergne-Rhone-Alpes,ARA,0.5,0.25,,France,fr,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SALLE DU COSEC  62510 ARQUES;,50.740222,2.319028,"62510 Arques, France",,62510,,62510,Pas-de-Calais,,,Arques,Upper France,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Palais des Sports  à Elancourt 78990 Elancourt;,48.7664215,1.9462131268939387,"Palais des Sports, Allée des Papyrus, 78990 Élancourt, France",,Palais des Sports,Allée des Papyrus,78990,Yvelines,,,Élancourt,Ile-de-France,IDF,1,0.9,,France,fr,0.8804347826086957,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2 place ELIZALDE 64990 MOUGUERRE;,43.448064,-1.397548,"Mouguerre, New Aquitaine, France",,,,,Pyrénées-Atlantiques,,,Mouguerre,New Aquitaine,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ruelle fondue 08140 BAZEILLES;,49.6786726,4.9793279,"Rue Fondue, 08140 Bazeilles, France",,Rue Fondue,Rue Fondue,08140,Ardennes,Bazeilles,,Bazeilles,Grand Est,GES,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Salle Jean Zay,Rue du 8 Mai 1945 62223 SAINT-LAURENT-BLANGY;",50.301844,2.799305,"Rue du 8 Mai 1945, 62223 Saint-Laurent-Blangy, France",,,Rue du 8 Mai 1945,62223,Pas-de-Calais,Saint-Laurent-Blangy,,Saint-Laurent-Blangy,Upper France,,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
17 Rue Léo Lagrange 33500 LES BILLAUX;,44.9501162,-0.2426612,"17 Rue Léo Lagrange, 33500 Libourne, France",17,Rue Léo Lagrange,Rue Léo Lagrange,33500,Gironde,Les Dagueys,,Libourne,Nouvelle-Aquitaine,NAQ,1,1,0,France,fr,0.475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
48 Rue de la Diligence 79100 Thouars / Sainte Verge;,47.003655,-0.210236,"48 Rue De La Diligence, 79100 Sainte-Verge, France",48,,Rue De La Diligence,79100,Deux-Sèvres,Sainte-Verge,,Sainte-Verge,New Aquitaine,,1,1,1,France,fr,1,© OpenAddresses contributors,BSD-3-Clause License,
Rue Gabriel Davenne 08300 Tagnon;,49.439296,4.286763,"Tagnon (Tagnon), Great East, France",,,,,Ardennes,Tagnon,,Tagnon,Great East,,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Gymnase C3R, 3 rue de Ecoles 78470 St Rémy les Chevreuse;",48.7068676,2.0690255,"Complexe sportif des 3 Rivières, 3 Rue des Écoles, 78470 Saint-Rémy-lès-Chevreuse, France",3,Complexe sportif des 3 Rivières,Rue des Écoles,78470,Yvelines,Rhodon,,Saint-Rémy-lès-Chevreuse,Ile-de-France,IDF,1,1,1,France,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
